Date,Planta,avg_temp,mean_monthly_temp,diff
1,1,17.115384184587814,17.761995034348868,-0.6466108497610534
1,2,17.420894937275985,17.761995034348868,-0.34110009707288214
1,3,17.581052120669057,17.761995034348868,-0.18094291367981086
1,4,18.08686715949821,17.761995034348868,0.3248721251493407
1,5,18.18784348864994,17.761995034348868,0.42584845430107165
1,6,18.179928315412187,17.761995034348868,0.41793328106331984
2,1,18.882310267857143,19.74719879850088,-0.8648885306437357
2,2,19.651202876984126,19.74719879850088,-0.09599592151675296
2,3,19.635751488095238,19.74719879850088,-0.11144731040564082
2,4,19.917652529761906,19.74719879850088,0.17045373126102703
2,5,20.138785548941797,19.74719879850088,0.3915867504409185
2,6,20.257490079365077,19.74719879850088,0.5102912808641982
3,1,20.694179004037686,21.30660610139076,-0.6124270973530734
3,2,21.31810789591745,21.30660610139076,0.011501794526690645
3,3,21.304706893973382,21.30660610139076,-0.0018992074173773688
3,4,21.4191509645581,21.30660610139076,0.11254486316734003
3,5,21.5392141468521,21.30660610139076,0.2326080454613404
3,6,21.564277703005832,21.30660610139076,0.25767160161507263
4,1,20.859675925925927,21.563938721707817,-0.7042627957818901
4,2,21.626041666666666,21.563938721707817,0.06210294495884838
4,3,21.965412808641975,21.563938721707817,0.401474086934158
4,4,21.76342013888889,21.563938721707817,0.19948141718107237
4,5,21.83569058641975,21.563938721707817,0.27175186471193413
4,6,21.3333912037037,21.563938721707817,-0.23054751800411566
5,1,23.216224238351256,23.925687288430904,-0.7094630500796484
5,2,24.045553315412185,23.925687288430904,0.11986602698128124
5,3,24.296311230585424,23.925687288430904,0.3706239421545199
5,4,24.13937051971326,23.925687288430904,0.21368323128235645
5,5,24.202777777777776,23.925687288430904,0.27709048934687175
5,6,23.653886648745523,23.925687288430904,-0.27180063968538093
6,1,27.27896412037037,28.021632265946504,-0.7426681455761326
6,2,27.92076388888889,28.021632265946504,-0.10086837705761553
6,3,28.595806327160492,28.021632265946504,0.5741740612139878
6,4,28.428715277777776,28.021632265946504,0.40708301183127205
6,5,28.228090277777774,28.021632265946504,0.20645801183126977
6,6,27.677453703703705,28.021632265946504,-0.3441785622427993
7,1,29.220603718637992,30.167472496017524,-0.9468687773795317
7,2,30.098963933691756,30.167472496017524,-0.06850856232576774
7,3,30.663056302270014,30.167472496017524,0.49558380625249043
7,4,30.410259856630823,30.167472496017524,0.24278736061329909
7,5,30.315591397849463,30.167472496017524,0.1481189018319391
7,6,30.29635976702509,30.167472496017524,0.12888727100756725
8,1,29.287623207885307,29.935216609418557,-0.6475934015332498
8,2,29.860915098566306,29.935216609418557,-0.07430151085225134
8,3,30.051765979689364,29.935216609418557,0.11654937027080692
8,4,30.147076612903223,29.935216609418557,0.2118600034846665
8,5,30.222330495818397,29.935216609418557,0.28711388639984037
8,6,30.041588261648744,29.935216609418557,0.10637165223018741
9,1,27.06987847222222,27.639348636831276,-0.5694701646090543
9,2,27.689635416666665,27.639348636831276,0.050286779835388984
9,3,27.88469521604938,27.639348636831276,0.2453465792181042
9,4,27.807418981481483,27.639348636831276,0.1680703446502072
9,5,27.66970679012346,27.639348636831276,0.030358153292183943
9,6,27.714756944444446,27.639348636831276,0.07540830761316997
10,1,25.13604586129754,25.65633699975143,-0.5202911384538922
10,2,25.920206935123044,25.65633699975143,0.26386993537161274
10,3,26.01975764354959,25.65633699975143,0.3634206437981575
10,4,25.7612807606264,25.65633699975143,0.10494376087496704
10,5,25.63621178225205,25.65633699975143,-0.020125217499380454
10,6,25.464519015659953,25.65633699975143,-0.19181798409147888
11,1,21.11753472222222,21.49530317644033,-0.3777684542181099
11,2,21.534594907407406,21.49530317644033,0.03929173096707572
11,3,22.05815200617284,21.49530317644033,0.5628488297325092
11,4,21.611047453703705,21.49530317644033,0.11574427726337433
11,5,21.114726080246914,21.49530317644033,-0.3805770961934165
11,6,21.535763888888887,21.49530317644033,0.040460712448556535
12,1,18.117383512544805,19.195795997610514,-1.0784124850657086
12,2,19.012376792114697,19.195795997610514,-0.18341920549581658
12,3,19.50728046594982,19.195795997610514,0.3114844683393052
12,4,19.40959901433692,19.195795997610514,0.21380301672640556
12,5,19.306227598566306,19.195795997610514,0.11043160095579196
12,6,19.821908602150536,19.195795997610514,0.6261126045400225
