,Month,Aula,count
0,6,A-11,34
1,6,A-12,34
2,6,A-13,37
3,6,A-14,45
4,6,A-21,6
5,6,A-22,2
6,6,A-23,2
7,6,A-24,2
8,6,A-31,2
9,6,A-33,1
10,6,A-36,4
11,6,A-41,2
12,6,A-42,3
13,6,A-51,13
14,6,A-52,10
15,6,A-53,4
16,6,A-54,5
17,6,A-55,1
18,6,A-61,8
19,6,A-62,7
20,9,A-11,33
21,9,A-12,32
22,9,A-13,28
23,9,A-14,26
24,9,A-21,18
25,9,A-22,15
26,9,A-23,14
27,9,A-24,14
28,9,A-31,18
29,9,A-32,14
30,9,A-33,14
31,9,A-34,15
32,9,A-35,20
33,9,A-36,14
34,9,A-41,14
35,9,A-42,20
36,9,A-43,13
37,9,A-44,9
38,9,A-51,11
39,9,A-52,10
40,9,A-53,11
41,9,A-54,12
42,9,A-55,10
43,9,A-56,10
44,9,A-61,9
45,9,A-62,11
46,10,A-11,114
47,10,A-12,104
48,10,A-13,75
49,10,A-14,86
50,10,A-21,50
51,10,A-22,32
52,10,A-23,37
53,10,A-24,27
54,10,A-31,36
55,10,A-32,35
56,10,A-33,48
57,10,A-34,34
58,10,A-35,37
59,10,A-36,23
60,10,A-41,28
61,10,A-42,80
62,10,A-43,35
63,10,A-44,31
64,10,A-51,19
65,10,A-52,18
66,10,A-53,31
67,10,A-54,28
68,10,A-55,25
69,10,A-56,24
70,10,A-61,43
71,10,A-62,37
