,Aula,temp_excessiva_alta,temp_excessiva_baixa,temp_excessiva,co2_excessiu,humitat_excessiva,humitat_alta,humitat_baixa,planta,posicio
0,A-11,29.09,14.72,43.82,4.27,24.3,10.02,14.29,1,1
1,A-12,30.57,20.99,51.57,4.53,20.91,9.06,11.85,1,2
2,A-13,30.57,21.95,52.53,7.93,17.68,8.54,9.15,1,3
3,A-14,29.18,31.97,61.15,5.05,15.59,7.14,8.45,1,4
4,A-21,31.79,15.68,47.47,3.14,21.95,6.01,15.94,2,1
5,A-22,35.89,16.55,52.44,4.53,20.12,4.18,15.94,2,2
6,A-23,33.1,20.47,53.57,6.62,12.02,3.83,8.19,2,3
7,A-24,34.76,23.08,57.84,4.36,14.29,3.66,10.63,2,4
8,A-31,30.23,7.93,38.15,6.45,22.39,5.57,16.81,3,1
9,A-32,33.54,18.64,52.18,4.18,14.98,3.31,11.67,3,2
10,A-33,33.19,16.9,50.09,5.23,6.27,4.18,2.09,3,3
11,A-34,32.84,18.9,51.74,5.66,17.07,3.05,14.02,3,4
12,A-35,34.58,19.95,54.53,5.4,16.72,3.4,13.33,3,5
13,A-36,31.79,27.09,58.89,4.53,5.31,3.48,1.83,3,6
14,A-41,30.23,13.07,43.29,2.18,17.25,3.31,13.94,4,1
15,A-42,30.66,10.37,41.03,1.83,10.02,6.62,3.4,4,2
16,A-43,31.45,21.52,52.96,1.39,8.62,2.87,5.75,4,3
17,A-44,32.58,14.46,47.04,2.18,15.16,2.35,12.8,4,4
18,A-51,28.31,10.54,38.85,0.35,20.99,3.05,17.94,5,1
19,A-52,29.7,10.45,40.16,1.92,18.82,2.44,16.38,5,2
20,A-53,31.79,25.87,57.67,0.44,15.85,2.44,13.41,5,3
21,A-54,31.45,27.26,58.71,0.44,14.29,2.35,11.93,5,4
22,A-55,30.57,19.69,50.26,0.44,12.2,2.35,9.84,5,5
23,A-56,29.36,23.17,52.53,0.44,11.32,3.22,8.1,5,6
24,A-61,31.1,9.41,40.51,3.48,20.56,3.66,16.9,6,1
25,A-62,29.7,12.46,42.16,0.96,16.9,3.4,13.5,6,2
